;Date;Week_day;Open;Close;Change
129;10/05/22;Tuesday; 31,625.85 ; 31,009.27 ;-1.95%
130;11/05/22;Wednesday; 31,147.72 ; 28,486.14 ;-8.55%
131;12/05/22;Thursday; 28,748.22 ; 28,617.10 ;-0.46%
132;13/05/22;Friday; 30,879.65 ; 29,798.11 ;-3.50%
133;14/05/22;Saturday; 28,888.47 ; 29,380.36 ;1.70%
134;15/05/22;Sunday; 29,920.00 ; 31,058.19 ;3.80%
135;16/05/22;Monday; 29,787.75 ; 29,943.48 ;0.52%
136;17/05/22;Tuesday; 30,339.34 ; 30,106.56 ;-0.77%
137;18/05/22;Wednesday; 29,370.01 ; 29,236.47 ;-0.45%
138;19/05/22;Thursday; 29,746.94 ; 30,270.19 ;1.76%
139;20/05/22;Friday; 29,933.08 ; 29,141.88 ;-2.64%
140;21/05/22;Saturday; 29,278.00 ; 29,429.29 ;0.52%
141;22/05/22;Sunday; 30,013.93 ; 29,938.75 ;-0.25%
142;23/05/22;Monday; 30,222.79 ; 29,345.89 ;-2.90%
143;24/05/22;Tuesday; 28,928.98 ; 29,462.95 ;1.85%
144;25/05/22;Wednesday; 29,861.03 ; 29,792.24 ;-0.23%
145;26/05/22;Thursday; 29,091.86 ; 29,460.01 ;1.27%
146;27/05/22;Friday; 29,171.70 ; 28,755.88 ;-1.43%
147;28/05/22;Saturday; 28,997.83 ; 29,026.27 ;0.10%
148;29/05/22;Sunday; 29,351.19 ; 29,182.95 ;-0.57%
149;30/05/22;Monday; 30,667.97 ; 31,277.18 ;1.99%
150;31/05/22;Tuesday; 31,500.00 ; 31,813.65 ;1.00%
151;1/06/22;Wednesday; 31,356.03 ; 29,636.09 ;-5.49%
152;2/06/22;Thursday; 29,867.95 ; 30,243.74 ;1.26%
153;3/06/22;Friday; 29,598.37 ; 29,662.43 ;0.22%
154;4/06/22;Saturday; 29,737.11 ; 29,749.77 ;0.04%
155;5/06/22;Sunday; 29,755.71 ; 29,945.84 ;0.64%
156;6/06/22;Monday; 31,698.57 ; 31,462.49 ;-0.74%
157;7/06/22;Tuesday; 29,693.17 ; 31,350.33 ;5.58%
158;8/06/22;Wednesday; 30,503.52 ; 30,202.53 ;-0.99%
159;9/06/22;Thursday; 30,256.64 ; 30,185.93 ;-0.23%
