Date,Week_day,Market,Start,Finish,Open,Close,Change,Change_pct,Volume
2018-02-14,Wednesday,new_york,14:30:00,20:59:59,9159.56,9283.0,123.44000000000052,0.0134766298817847,10450.094069
2018-02-15,Thursday,tokyo,02:00:00,07:59:59,9374.96,9810.01,435.0500000000011,0.0464055313302671,10783.302494999998
2018-02-15,Thursday,london,08:00:00,14:29:59,9810.01,9769.0,-41.01000000000022,-0.0041804238731663,11049.022831000002
2018-02-15,Thursday,new_york,14:30:00,20:59:59,9770.0,10087.0,317.0,0.0324462640736948,10504.957898
2018-02-16,Friday,tokyo,02:00:00,07:59:59,10305.0,9688.5,-616.5,-0.059825327510917,11725.604555
2018-02-16,Friday,london,08:00:00,14:29:59,9688.5,9960.0,271.5,0.0280229137637404,13978.895739
2018-02-16,Friday,new_york,14:30:00,20:59:59,9960.0,10014.74,54.73999999999978,0.0054959839357429,10842.717189
2018-02-17,Saturday,tokyo,02:00:00,07:59:59,10316.03,10727.91,411.8799999999992,0.0399262119245484,12546.088975
2018-02-17,Saturday,london,08:00:00,14:29:59,10727.87,10510.0,-217.8700000000008,-0.0203087845024222,14582.086374
2018-02-17,Saturday,new_york,14:30:00,20:59:59,10509.99,10745.0,235.01000000000025,0.0223606302194387,13134.944162999998
2018-02-18,Sunday,tokyo,02:00:00,07:59:59,11190.0,10589.76,-600.2399999999998,-0.0536407506702413,11477.735495
2018-02-18,Sunday,london,08:00:00,14:29:59,10593.62,10640.0,46.3799999999992,0.0043781068227857,11753.771574
2018-02-18,Sunday,new_york,14:30:00,20:59:59,10640.0,10765.49,125.48999999999978,0.0117941729323307,10178.653514
2018-02-19,Monday,tokyo,02:00:00,07:59:59,10620.82,10815.62,194.8000000000011,0.0183413333433766,15033.214016
2018-02-19,Monday,london,08:00:00,14:29:59,10815.61,10949.99,134.3799999999992,0.0124246343941765,15709.274499
2018-02-19,Monday,new_york,14:30:00,20:59:59,10949.99,11202.02,252.03000000000063,0.023016459375762,12060.286717
2018-02-20,Tuesday,tokyo,02:00:00,07:59:59,11479.0,11535.0,56.0,0.0048784737346458,11233.130687
2018-02-20,Tuesday,london,08:00:00,14:29:59,11530.92,11505.0,-25.920000000000076,-0.0022478692073139,20082.101244
2018-02-20,Tuesday,new_york,14:30:00,20:59:59,11508.59,11723.98,215.38999999999945,0.0187155854887521,15028.617144999998
2018-02-21,Wednesday,tokyo,02:00:00,07:59:59,11079.54,11125.0,45.45999999999913,0.0041030584302235,15690.639423
2018-02-21,Wednesday,london,08:00:00,14:29:59,11128.0,10572.49,-555.5100000000002,-0.0499200215672178,15999.946849000002
2018-02-21,Wednesday,new_york,14:30:00,20:59:59,10572.0,10379.56,-192.4400000000005,-0.0182027998486569,16146.302182
2018-02-22,Thursday,tokyo,02:00:00,07:59:59,10634.23,10600.0,-34.22999999999956,-0.003218850824178,13120.399044999998
2018-02-22,Thursday,london,08:00:00,14:29:59,10606.99,9915.0,-691.9899999999998,-0.0652390546234134,15672.389338
2018-02-22,Thursday,new_york,14:30:00,20:59:59,9918.03,10065.02,146.98999999999978,0.0148204835032763,14382.216854
2018-02-23,Friday,tokyo,02:00:00,07:59:59,9703.12,9865.66,162.53999999999905,0.0167513129797425,10103.929992
2018-02-23,Friday,london,08:00:00,14:29:59,9865.67,10370.01,504.34000000000015,0.0511207044225074,10978.438955
2018-02-23,Friday,new_york,14:30:00,20:59:59,10370.52,9950.18,-420.34000000000015,-0.0405322008925299,9711.036853
2018-02-24,Saturday,tokyo,02:00:00,07:59:59,10343.0,10119.16,-223.84000000000012,-0.0216416900319056,8905.631585
2018-02-24,Saturday,london,08:00:00,14:29:59,10119.13,9800.01,-319.119999999999,-0.0315363079632339,7907.335642999999
2018-02-24,Saturday,new_york,14:30:00,20:59:59,9800.01,9386.0,-414.0100000000002,-0.042245875259311,7865.865887000001
2018-02-25,Sunday,tokyo,02:00:00,07:59:59,9756.01,9727.3,-28.710000000000942,-0.0029428014116427,9582.060215999998
2018-02-25,Sunday,london,08:00:00,14:29:59,9722.64,9491.0,-231.63999999999945,-0.0238248047855313,9014.681596000002
2018-02-25,Sunday,new_york,14:30:00,20:59:59,9493.94,9562.0,68.05999999999949,0.0071687834555516,7193.183215999999
2018-02-26,Monday,tokyo,02:00:00,07:59:59,9717.7,9454.49,-263.21000000000095,-0.0270856272574787,8356.43661
2018-02-26,Monday,london,08:00:00,14:29:59,9454.49,10230.0,775.5100000000002,0.082025577265405,10089.379248999998
2018-02-26,Monday,new_york,14:30:00,20:59:59,10230.0,10295.0,65.0,0.0063538611925708,8982.282845000002
2018-02-27,Tuesday,tokyo,02:00:00,07:59:59,10195.01,10600.0,404.9899999999998,0.0397243357289496,7695.260625
2018-02-27,Tuesday,london,08:00:00,14:29:59,10600.0,10692.69,92.69000000000052,0.0087443396226416,8150.478986999999
2018-02-27,Tuesday,new_york,14:30:00,20:59:59,10691.01,10675.22,-15.790000000000871,-0.0014769418417904,5034.610794
2018-02-28,Wednesday,tokyo,02:00:00,07:59:59,10700.9,10748.86,47.96000000000095,0.0044818660112702,7127.766369999999
2018-02-28,Wednesday,london,08:00:00,14:29:59,10741.01,10510.0,-231.01000000000025,-0.0215072884207351,7396.779692
2018-02-28,Wednesday,new_york,14:30:00,20:59:59,10510.0,10670.0,160.0,0.0152235965746907,6172.463273
2018-03-01,Thursday,tokyo,02:00:00,07:59:59,10420.0,10549.33,129.32999999999993,0.012411708253359,5821.656374
2018-03-01,Thursday,london,08:00:00,14:29:59,10549.96,10779.01,229.0500000000011,0.0217109827904562,6085.865488
2018-03-01,Thursday,new_york,14:30:00,20:59:59,10778.07,11028.0,249.9300000000003,0.0231887527173233,5758.192474999999
2018-03-02,Friday,tokyo,02:00:00,07:59:59,11179.1,11080.42,-98.68000000000028,-0.0088271864461361,5039.260402
